regiao;indice_de_instabilidade
Sub-Saharan Africa;242,23
Middle East & North Africa;126,27
Western Europe;109,56
Eastern Europe;106,97
Central America & Caribbean;84,39
South America;80,89
Southeast Asia;52,7
South Asia;44,43
Central Asia;40,06
East Asia;33,22
Australasia & Oceania;32,86
North America;18,99
